ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
296	10.5281/zenodo.4450014		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	14	Bisiada, Mario	Empirical studies in translation and discourse
297	10.5281/zenodo.4287412		eng		CC-BY	False		Contemporary African Linguistics	2	Persohn, Bastian	The  Verb in Nyakyusa: A focus on tense, aspect, and modality (Second edition)
298	10.5281/zenodo.4737370		eng	gyel1242	CC-BY	False		Comprehensive Grammar Library	2	Grimm, Nadine	A grammar of Gyeli
299	10.5281/zenodo.4456792		eng		CC-BY	False		Current Issues in Bilingualism	1	Shim, Ji Young	OV and VO variation in code-switching
303	10.5281/zenodo.5040241	(eds.)	eng		CC-BY	False		Language Variation	6	Tahmasebi, Nina, Borin, Lars, Jatowt, Adam, Xu, Yang & Hengchen, Simon 	Computational approaches to semantic change
304	10.5281/zenodo.4727623	(eds.)	eng		CC-BY	False		Phraseology and Multiword Expressions	5	Trklja, Aleksandar & Grabowski, Łukasz 	Formulaic language: Theories and methods
305	10.5281/zenodo.4954364		eng		CC-BY	False		Language Variation	5	Zimmer, Christian	German(ic) in language contact: Grammatical and sociolinguistic dynamics
308	10.5281/zenodo.5137647		eng	surs1245	CC-BY	False		Comprehensive Grammar Library	3	Maurer-Cecchini, Philippe	A grammar of Tuatschin: A Sursilvan Romansh dialect
311	10.5281/zenodo.5142265	(eds.)	eng		CC-BY	False		History and Philosophy of the Language Sciences	4	McElvenny, James & Ploder, Andrea 	Holisms of communication: The early history of audio-visual sequence analysis
313	10.5281/zenodo.5378471	(eds.)	eng		CC-BY	False		EuroSLA Studies	5	Berthele, Raphael & Udry, Isabelle 	Individual differences in early instructed language learning: The role of language aptitude, cognition, and motivation
315	10.5281/zenodo.5948872		eng		CC-BY	False		Research on Comparative Grammar	1	Bahrt, Nicklas N.	Voice syncretism
316	10.5281/zenodo.5082006	(eds.)	eng		CC-BY	False		Open Slavic Linguistics	5	Dočekal, Mojmír & Wągiel, Marcin 	Formal approaches to number in Slavic and beyond
317	10.5281/zenodo.5106382		eng		CC-BY	False		Open Slavic Linguistics	6	Wągiel, Marcin	Subatomic quantification
318	10.5281/zenodo.5506578	(eds.)	eng		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	10	Diewald, Gabriele & Politt, Katja 	Paradigms regained: Theoretical and empirical arguments for the reassessment of the notion of paradigm
319	10.5281/zenodo.5646896		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	16	Nitzke, Jean & Hansen-Schirra, Silvia	A short guide to post-editing
320	10.5281/zenodo.5721159		eng		CC-BY	False		Conceptual Foundations of Language Science	7	Archangeli, Diana & Pulleyblank, Douglas	Emergent phonology
321	10.5281/zenodo.5596236		eng		CC-BY	False		Open Germanic Linguistics	1	Lemke, Robin	Experimental investigations on the syntax and usage of fragments
323	10.5281/zenodo.5140049	(eds.)	eng		CC-BY	False		Open Generative Syntax	12	Laszakovits, Sabine & Shen, Zheng 	The size of things I: Structure building
325	10.5281/zenodo.5820515		eng		CC-BY	False		Niger-Congo Comparative Studies	3	Pozdniakov, Konstantin	Proto-Fula–Sereer: Lexicon, morphophonology, and noun classes
326	10.5281/zenodo.5548947		eng	ruul1235	CC-BY	False		African Language Grammars and Dictionaries	5	Namyalo, Saudah, Witzlack-Makarevich, Alena, Kiriggwajjo, Anatole, Atuhairwe, Amos, Molochieva, Zarina, Mukama, Ruth Gimbo  & Zellers, Margaret	A dictionary and grammatical sketch of Ruruuli-Lunyala
327	10.5281/zenodo.5509618		eng		CC-BY	False		History and Philosophy of the Language Sciences	5	Anderson, Stephen R. 	Phonology in the Twentieth Century : Second edition, revised and expanded
329	10.5281/zenodo.5482405	(eds.)	eng	swed1254	CC-BY	False		Open Germanic Linguistics	2	Larsson, Ida & Petzell, Erik M. 	Morphosyntactic change in Late Modern Swedish
339	10.5281/zenodo.5792972		eng		CC-BY	False		Open Slavic Linguistics	7	Kolaković, Zrinka, Jurkiewicz-Rohrbacher, Edyta, Hansen, Björn, Filipović Đurđević, Dušica & Fritz, Nataša	Clitics in the wild : Empirical studies on the microvariation of the pronominal, reflexive and verbal clitics in Bosnian, Croatian and Serbian.
340	10.5281/zenodo.5902971		eng		CC-BY	False		Translation and Multilingual Natural Language Processing	17	Hoberg, Felix	Informationsintegration in mehrsprachigen Textchats : Der Skype Translator im Sprachenpaar Katalanisch-Deutsch
341	10.5281/zenodo.6207627		eng		CC-BY	False		Language Variation	7	Paulsen, Ingrid	The  emergence of American English as a discursive variety : Tracing enregisterment processes in nineteenth-century U.S. newspapers
